index,ranking
0,"single_agent,maats,zero_shot"
1,"maats,zero_shot,single_agent"
2,"zero_shot,single_agent,maats"
3,"maats,single_agent,zero_shot"
4,"single_agent,zero_shot,maats"
5,"maats,single_agent,zero_shot"
6,"maats,single_agent,zero_shot"
7,"single_agent,zero_shot,maats"
8,"zero_shot,single_agent,maats"
9,"maats,zero_shot,single_agent"
10,"single_agent,zero_shot,maats"
11,"single_agent,maats,zero_shot"
12,"single_agent,maats,zero_shot"
13,"single_agent,maats,zero_shot"
14,"maats,zero_shot,single_agent"
15,"maats,single_agent,zero_shot"
16,"single_agent,zero_shot,maats"
17,"maats,single_agent,zero_shot"
18,"maats,zero_shot,single_agent"
19,"maats,single_agent,zero_shot"
20,"single_agent,zero_shot,maats"
21,"zero_shot,maats,single_agent"
22,"maats,single_agent,zero_shot"
23,"single_agent,maats,zero_shot"
24,"single_agent,zero_shot,maats"
24,"single_agent,zero_shot,maats"
26,"zero_shot,single_agent,maats"
27,"maats,single_agent,zero_shot"
28,"maats,zero_shot,single_agent"
29,"zero_shot,single_agent,maats"
30,"maats,single_agent,zero_shot"
31,"maats,zero_shot,single_agent"
32,"single_agent,maats,zero_shot"
33,"maats,single_agent,zero_shot"
34,"maats,zero_shot,single_agent"
35,"single_agent,zero_shot,maats"
36,"maats,single_agent,zero_shot"
37,"zero_shot,maats,single_agent"
38,"zero_shot,single_agent,maats"
39,"maats,zero_shot,single_agent"
40,"maats,single_agent,zero_shot"
41,"zero_shot,maats,single_agent"
42,"maats,single_agent,zero_shot"
43,"maats,single_agent,zero_shot"
44,"single_agent,maats,zero_shot"
45,"maats,single_agent,zero_shot"
46,"maats,single_agent,zero_shot"
47,"single_agent,maats,zero_shot"
48,"maats,single_agent,zero_shot"
49,"zero_shot,maats,single_agent"
50,"maats,zero_shot,single_agent"
51,"zero_shot,single_agent,maats"
52,"zero_shot,maats,single_agent"
53,"maats,zero_shot,single_agent"
54,"maats,zero_shot,single_agent"
55,"zero_shot,maats,single_agent"
56,"zero_shot,maats,single_agent"
57,"single_agent,zero_shot,maats"
58,"zero_shot,maats,single_agent"
59,"single_agent,maats,zero_shot"
60,"maats,single_agent,zero_shot"
61,"maats,zero_shot,single_agent"
62,"maats,zero_shot,single_agent"
63,"maats,zero_shot,single_agent"
64,"maats,single_agent,zero_shot"
65,"maats,single_agent,zero_shot"
66,"single_agent,zero_shot,maats"
67,"maats,single_agent,zero_shot"
68,"single_agent,zero_shot,maats"
69,"maats,zero_shot,single_agent"
70,"maats,zero_shot,single_agent"
71,"maats,single_agent,zero_shot"
72,"zero_shot,maats,single_agent"
73,"zero_shot,single_agent,maats"
74,"maats,single_agent,zero_shot"
75,"maats,single_agent,zero_shot"
76,"single_agent,zero_shot,maats"
77,"zero_shot,maats,single_agent"
78,"single_agent,zero_shot,maats"
79,"maats,single_agent,zero_shot"
80,"maats,single_agent,zero_shot"
81,"maats,zero_shot,single_agent"
82,"zero_shot,maats,single_agent"
83,"maats,single_agent,zero_shot"
84,"zero_shot,maats,single_agent"
85,"zero_shot,single_agent,maats"
86,"zero_shot,maats,single_agent"
87,"zero_shot,single_agent,maats"
88,"single_agent,zero_shot,maats"
89,"single_agent,maats,zero_shot"
90,"maats,zero_shot,single_agent"
91,"maats,single_agent,zero_shot"
92,"maats,single_agent,zero_shot"
93,"maats,zero_shot,single_agent"
94,"single_agent,maats,zero_shot"
95,"single_agent,zero_shot,maats"
96,"maats,zero_shot,single_agent"
97,"maats,zero_shot,single_agent"
98,"maats,single_agent,zero_shot"
99,"zero_shot,maats,single_agent"
100,"maats,single_agent,zero_shot"
101,"zero_shot,maats,single_agent"
102,"zero_shot,maats,single_agent"
103,"maats,single_agent,zero_shot"
104,"maats,zero_shot,single_agent"
105,"zero_shot,maats,single_agent"
106,"zero_shot,single_agent,maats"
107,"maats,single_agent,zero_shot"
108,"zero_shot,maats,single_agent"
109,"single_agent,maats,zero_shot"
110,"single_agent,maats,zero_shot"
111,"maats,single_agent,zero_shot"
112,"maats,single_agent,zero_shot"
113,"maats,single_agent,zero_shot"
114,"zero_shot,single_agent,maats"
115,"maats,zero_shot,single_agent"
116,"maats,zero_shot,single_agent"
117,"single_agent,zero_shot,maats"
118,"maats,zero_shot,single_agent"
119,"single_agent,zero_shot,maats"
120,"zero_shot,maats,single_agent"
121,"zero_shot,maats,single_agent"
122,"single_agent,zero_shot,maats"
123,"single_agent,zero_shot,maats"
124,"single_agent,zero_shot,maats"
125,"single_agent,zero_shot,maats"
126,"maats,zero_shot,single_agent"
127,"single_agent,maats,zero_shot"
128,"maats,zero_shot,single_agent"
129,"zero_shot,maats,single_agent"
130,"zero_shot,single_agent,maats"
131,"maats,single_agent,zero_shot"
132,"zero_shot,maats,single_agent"
133,"single_agent,maats,zero_shot"
134,"maats,single_agent,zero_shot"
135,"maats,single_agent,zero_shot"
136,"single_agent,maats,zero_shot"
137,"zero_shot,single_agent,maats"
138,"zero_shot,maats,single_agent"
139,"zero_shot,maats,single_agent"
140,"single_agent,zero_shot,maats"
141,"single_agent,maats,zero_shot"
142,"single_agent,maats,zero_shot"
143,"single_agent,zero_shot,maats"
144,"zero_shot,maats,single_agent"
145,"single_agent,maats,zero_shot"
146,"single_agent,zero_shot,maats"
147,"maats,zero_shot,single_agent"
148,"single_agent,zero_shot,maats"
149,"maats,single_agent,zero_shot"
150,"maats,single_agent,zero_shot"
