index,ranking
0,"maats,zero_shot,single_agent"
1,"zero_shot,maats,single_agent"
2,"maats,single_agent,zero_shot"
3,"zero_shot,maats,single_agent"
4,"single_agent,maats,zero_shot"
5,"maats,zero_shot,single_agent"
6,"single_agent,maats,zero_shot"
7,"zero_shot,single_agent,maats"
8,"single_agent,zero_shot,maats"
9,"maats,zero_shot,single_agent"
10,"maats,single_agent,zero_shot"
11,"maats,zero_shot,single_agent"
12,"maats,single_agent,zero_shot"
13,"single_agent,maats,zero_shot"
14,"maats,zero_shot,single_agent"
15,"zero_shot,maats,single_agent"
16,"maats,zero_shot,single_agent"
17,"zero_shot,single_agent,maats"
18,"single_agent,zero_shot,maats"
19,"maats,zero_shot,single_agent"
20,"zero_shot,single_agent,maats"
21,"maats,zero_shot,single_agent"
22,"maats,single_agent,zero_shot"
23,"zero_shot,maats,single_agent"
24,"single_agent,zero_shot,maats"
25,"maats,single_agent,zero_shot"
26,"zero_shot,single_agent,maats"
27,"zero_shot,maats,single_agent"
28,"maats,zero_shot,single_agent"
29,"single_agent,maats,zero_shot"
30,"maats,zero_shot,single_agent"
31,"zero_shot,maats,single_agent"
32,"single_agent,zero_shot,maats"
33,"maats,single_agent,zero_shot"
34,"maats,zero_shot,single_agent"
35,"maats,single_agent,zero_shot"
36,"zero_shot,single_agent,maats"
37,"maats,single_agent,zero_shot"
38,"zero_shot,single_agent,maats"
39,"maats,zero_shot,single_agent"
40,"zero_shot,maats,single_agent"
41,"maats,single_agent,zero_shot"
42,"maats,single_agent,zero_shot"
43,"zero_shot,maats,single_agent"
44,"single_agent,zero_shot,maats"
45,"maats,single_agent,zero_shot"
46,"single_agent,zero_shot,maats"
47,"zero_shot,single_agent,maats"
48,"maats,zero_shot,single_agent"
49,"zero_shot,single_agent,maats"
50,"single_agent,maats,zero_shot"
51,"zero_shot,single_agent,maats"
52,"maats,single_agent,zero_shot"
53,"maats,single_agent,zero_shot"
54,"maats,zero_shot,single_agent"
55,"zero_shot,single_agent,maats"
56,"single_agent,zero_shot,maats"
57,"maats,single_agent,zero_shot"
58,"single_agent,zero_shot,maats"
59,"maats,zero_shot,single_agent"
60,"maats,zero_shot,single_agent"
61,"single_agent,zero_shot,maats"
62,"maats,single_agent,zero_shot"
63,"single_agent,maats,zero_shot"
64,"zero_shot,maats,single_agent"
65,"zero_shot,maats,single_agent"
66,"maats,zero_shot,single_agent"
67,"maats,single_agent,zero_shot"
68,"maats,single_agent,zero_shot"
69,"single_agent,zero_shot,maats"
70,"zero_shot,maats,single_agent"
71,"maats,single_agent,zero_shot"
72,"single_agent,maats,zero_shot"
73,"single_agent,maats,zero_shot"
74,"zero_shot,maats,single_agent"
75,"maats,zero_shot,single_agent"
76,"zero_shot,single_agent,maats"
77,"single_agent,zero_shot,maats"
78,"zero_shot,maats,single_agent"
79,"zero_shot,single_agent,maats"
80,"single_agent,zero_shot,maats"
81,"zero_shot,maats,single_agent"
82,"single_agent,zero_shot,maats"
83,"maats,zero_shot,single_agent"
84,"zero_shot,single_agent,maats"
85,"zero_shot,single_agent,maats"
86,"zero_shot,single_agent,maats"
87,"zero_shot,maats,single_agent"
88,"single_agent,maats,zero_shot"
89,"single_agent,maats,zero_shot"
90,"zero_shot,maats,single_agent"
91,"zero_shot,maats,single_agent"
92,"single_agent,zero_shot,maats"
93,"zero_shot,maats,single_agent"
94,"maats,single_agent,zero_shot"
