index,ranking
0,"maats,single_agent,zero_shot"
1,"maats,zero_shot,single_agent"
2,"maats,single_agent,zero_shot"
3,"maats,single_agent,zero_shot"
4,"zero_shot,maats,single_agent"
5,"maats,single_agent,zero_shot"
6,"zero_shot,maats,single_agent"
7,"maats,single_agent,zero_shot"
8,"maats,zero_shot,single_agent"
9,"zero_shot,single_agent,maats"
10,"maats,single_agent,zero_shot"
11,"single_agent,zero_shot,maats"
12,"single_agent,zero_shot,maats"
13,"zero_shot,maats,single_agent"
14,"maats,single_agent,zero_shot"
15,"single_agent,maats,zero_shot"
16,"maats,single_agent,zero_shot"
17,"maats,single_agent,zero_shot"
18,"maats,zero_shot,single_agent"
19,"single_agent,maats,zero_shot"
20,"maats,single_agent,zero_shot"
21,"maats,single_agent,zero_shot"
22,"maats,zero_shot,single_agent"
23,"maats,single_agent,zero_shot"
24,"maats,zero_shot,single_agent"
25,"maats,single_agent,zero_shot"
26,"single_agent,zero_shot,maats"
27,"maats,single_agent,zero_shot"
28,"single_agent,maats,zero_shot"
29,"zero_shot,maats,single_agent"
30,"zero_shot,maats,single_agent"
31,"maats,single_agent,zero_shot"
32,"maats,zero_shot,single_agent"
33,"single_agent,zero_shot,maats"
34,"single_agent,zero_shot,maats"
35,"maats,single_agent,zero_shot"
36,"single_agent,maats,zero_shot"
37,"maats,single_agent,zero_shot"
38,"single_agent,zero_shot,maats"
39,"single_agent,zero_shot,maats"
40,"single_agent,maats,zero_shot"
41,"zero_shot,maats,single_agent"
42,"maats,single_agent,zero_shot"
43,"single_agent,maats,zero_shot"
44,"zero_shot,single_agent,maats"
45,"maats,single_agent,zero_shot"
46,"maats,single_agent,zero_shot"
47,"zero_shot,single_agent,maats"
48,"maats,zero_shot,single_agent"
49,"maats,single_agent,zero_shot"
50,"single_agent,maats,zero_shot"
51,"maats,single_agent,zero_shot"
52,"single_agent,maats,zero_shot"
53,"maats,single_agent,zero_shot"
54,"single_agent,zero_shot,maats"
55,"single_agent,maats,zero_shot"
56,"maats,zero_shot,single_agent"
57,"zero_shot,single_agent,maats"
58,"zero_shot,maats,single_agent"
59,"maats,zero_shot,single_agent"
60,"single_agent,zero_shot,maats"
61,"maats,single_agent,zero_shot"
62,"single_agent,zero_shot,maats"
63,"maats,zero_shot,single_agent"
64,"zero_shot,single_agent,maats"
65,"single_agent,zero_shot,maats"
66,"maats,zero_shot,single_agent"
67,"maats,single_agent,zero_shot"
68,"zero_shot,maats,single_agent"
69,"single_agent,zero_shot,maats"
70,"zero_shot,maats,single_agent"
71,"zero_shot,maats,single_agent"
72,"zero_shot,maats,single_agent"
73,"single_agent,maats,zero_shot"
74,"zero_shot,maats,single_agent"
75,"zero_shot,maats,single_agent"
76,"single_agent,maats,zero_shot"
77,"maats,zero_shot,single_agent"
78,"maats,zero_shot,single_agent"
79,"zero_shot,single_agent,maats"
80,"zero_shot,single_agent,maats"
81,"maats,single_agent,zero_shot"
82,"maats,single_agent,zero_shot"
83,"single_agent,zero_shot,maats"
84,"maats,single_agent,zero_shot"
85,"maats,single_agent,zero_shot"
86,"single_agent,zero_shot,maats"
87,"maats,zero_shot,single_agent"
88,"maats,zero_shot,single_agent"
89,"single_agent,maats,zero_shot"
90,"single_agent,maats,zero_shot"
91,"maats,single_agent,zero_shot"
92,"maats,single_agent,zero_shot"
93,"single_agent,zero_shot,maats"
94,"maats,single_agent,zero_shot"
95,"single_agent,zero_shot,maats"
96,"zero_shot,single_agent,maats"
97,"zero_shot,maats,single_agent"
98,"zero_shot,single_agent,maats"
99,"single_agent,maats,zero_shot",你可以购买上面列出的板子中的一个，不是全部。,你可以购买上面列出的板子中的**一个**，不是每一个。,你可以购买上面列出的板子中的**一个**，而不是全部。
100,"maats,single_agent,zero_shot",昨天，我和我的朋友，也是以前一起当拉比的同事，度过了最美好的时光。,昨天我和我的朋友以及以前的拉比同事度过了最美好的时光。,昨天我和我的朋友，也是以前的拉比同事，度过了美好的一天。
101,"maats,single_agent,zero_shot",我们在我的门廊上聊了几个小时。,我们在我的门廊上拜访了几个小时。,我们在我的门廊上待了几个小时。
101,"maats,single_agent,zero_shot",我们在我的门廊上聊了几个小时。,我们在我的门廊上拜访了几个小时。,我们在我的门廊上待了几个小时。
103,"zero_shot,maats,single_agent",我觉得不知怎么的，一开始就有点不顺。,我觉得不知怎么的，我一开始就弄错了，或者说，一开始就没走对路。,我觉得不知怎么的，我觉得我一开始就有点不顺。
104,"single_agent,zero_shot,maats",雷普尼德虫族已在地下挖掘出隧道，你不慎坠入一个洞穴，那里聚集着数百只虫族，如沸腾翻滚的肉堆。,地下已经被雷普尼德虫族挖成了隧道，你掉进了一个洞穴中，那里有数百只雷普尼德虫族挤在一起，形成一片沸腾的肉堆。,地下已被雷普尼德挖掘成隧道，你一不小心掉入地下的洞穴中，那里聚集着数百只雷普尼德，形成一片沸腾的肉堆。
105,"single_agent,zero_shot,maats",结局转瞬即至，数对毒牙注入致命毒液，Dyskra的空气也侵蚀着你的肺部。,结局迅疾而至，数对毒牙注入致命的毒液，而迪斯克拉的空气也污染了你的肺部。,结局迅疾而至，数对毒牙注入致命毒液，迪斯克拉的空气也侵蚀着你的肺部。
