index,ranking
0,"maats,zero_shot,single_agent"
1,"maats,single_agent,zero_shot"
2,"maats,single_agent,zero_shot"
3,"zero_shot,single_agent,maats"
4,"maats,single_agent,zero_shot"
5,"maats,single_agent,zero_shot"
6,"zero_shot,maats,single_agent"
7,"maats,zero_shot,single_agent"
8,"maats,single_agent,zero_shot"
9,"maats,single_agent,zero_shot"
10,"single_agent,maats,zero_shot"
11,"zero_shot,maats,single_agent"
12,"single_agent,zero_shot,maats"
13,"zero_shot,maats,single_agent"
14,"maats,single_agent,zero_shot"
15,"maats,zero_shot,single_agent"
16,"zero_shot,single_agent,maats"
17,"single_agent,maats,zero_shot"
18,"maats,zero_shot,single_agent"
19,"maats,single_agent,zero_shot"
20,"zero_shot,maats,single_agent"
21,"maats,single_agent,zero_shot"
22,"maats,zero_shot,single_agent"
23,"maats,single_agent,zero_shot"
24,"maats,zero_shot,single_agent"
25,"maats,single_agent,zero_shot"
26,"single_agent,zero_shot,maats"
27,"maats,zero_shot,single_agent"
28,"maats,single_agent,zero_shot"
29,"single_agent,zero_shot,maats"
30,"single_agent,zero_shot,maats"
31,"single_agent,maats,zero_shot"
32,"zero_shot,maats,single_agent"
33,"maats,single_agent,zero_shot"
34,"maats,single_agent,zero_shot"
35,"single_agent,zero_shot,maats"
36,"maats,single_agent,zero_shot"
37,"maats,zero_shot,single_agent"
38,"maats,zero_shot,single_agent"
39,"maats,single_agent,zero_shot"
40,"maats,zero_shot,single_agent"
41,"maats,zero_shot,single_agent"
42,"maats,single_agent,zero_shot"
43,"maats,single_agent,zero_shot"
44,"single_agent,maats,zero_shot"
45,"maats,zero_shot,single_agent"
46,"single_agent,zero_shot,maats"
47,"maats,single_agent,zero_shot"
48,"single_agent,zero_shot,maats"
49,"maats,single_agent,zero_shot"
50,"single_agent,maats,zero_shot"
51,"maats,single_agent,zero_shot"
52,"maats,single_agent,zero_shot"
53,"zero_shot,maats,single_agent"
54,"zero_shot,single_agent,maats"
55,"maats,single_agent,zero_shot"
56,"single_agent,zero_shot,maats"
57,"zero_shot,single_agent,maats"
58,"zero_shot,single_agent,maats"
59,"maats,zero_shot,single_agent"
60,"single_agent,zero_shot,maats"
61,"maats,single_agent,zero_shot"
62,"zero_shot,single_agent,maats"
63,"maats,single_agent,zero_shot"
64,"single_agent,zero_shot,maats"
65,"single_agent,zero_shot,maats"
66,"maats,single_agent,zero_shot"
67,"zero_shot,single_agent,maats"
68,"zero_shot,maats,single_agent"
69,"single_agent,zero_shot,maats"
70,"zero_shot,maats,single_agent"
71,"zero_shot,single_agent,maats"
72,"maats,single_agent,zero_shot"
73,"zero_shot,single_agent,maats"
74,"single_agent,maats,zero_shot"
75,"zero_shot,maats,single_agent"
76,"maats,single_agent,zero_shot"
77,"maats,zero_shot,single_agent"
78,"maats,single_agent,zero_shot"
79,"maats,zero_shot,single_agent"
80,"single_agent,zero_shot,maats"
81,"maats,single_agent,zero_shot"
82,"maats,single_agent,zero_shot"
83,"maats,zero_shot,single_agent"
84,"zero_shot,single_agent,maats"
85,"single_agent,zero_shot,maats"
86,"maats,single_agent,zero_shot"
87,"single_agent,maats,zero_shot"
88,"single_agent,maats,zero_shot"
89,"single_agent,zero_shot,maats"
90,"single_agent,zero_shot,maats"
91,"maats,single_agent,zero_shot"
92,"single_agent,maats,zero_shot"
93,"single_agent,zero_shot,maats"
94,"maats,zero_shot,single_agent"
95,"single_agent,zero_shot,maats"
96,"single_agent,zero_shot,maats"
97,"zero_shot,single_agent,maats"
98,"zero_shot,single_agent,maats"
99,"single_agent,zero_shot,maats"
100,"single_agent,zero_shot,maats"
101,"single_agent,zero_shot,maats"
102,"zero_shot,maats,single_agent"
103,"zero_shot,single_agent,maats"
104,"single_agent,zero_shot,maats"
105,"single_agent,zero_shot,maats"
106,"single_agent,zero_shot,maats"
107,"single_agent,zero_shot,maats"
108,"single_agent,zero_shot,maats"
109,"zero_shot,single_agent,maats"
110,"single_agent,zero_shot,maats"
111,"zero_shot,single_agent,maats"
112,"single_agent,zero_shot,maats"
113,"zero_shot,maats,single_agent"
114,"zero_shot,single_agent,maats"
115,"single_agent,zero_shot,maats"
116,"zero_shot,maats,single_agent"
117,"maats,single_agent,zero_shot"
