index,ranking
0,"maats,single_agent,zero_shot"
1,"maats,single_agent,zero_shot"
2,"zero_shot,single_agent,MAATS"
3,"MAATS,single_agent,zero_shot"
4,"zero_shot,MAATS,single_agent"
5,"MAATS,single_agent,zero_shot"
6,"MAATS,zero_shot,single_agent"
7,"single_agent,zero_shot,maats"
8,"zero_shot,maats,single_agent"
9,"zero_shot,single_agent,maats"
10,"maats,single_agent,zero_shot"
11,"zero_shot,maats,single_agent"
12,"maats,single_agent,zero_shot"
13,"zero_shot,single_agent,maats"
14,"maats,zero_shot,single_agent"
15,"zero_shot,single_agent,maats"
16,"zero_shot,single_agent,maats"
17,"zero_shot,maats,single_agent"
18,"zero_shot,single_agent,maats"
19,"maats,zero_shot,single_agent"
20,"maats,zero_shot,single_agent"
21,"maats,zero_shot,single_agent"
22,"zero_shot,single_agent,maats"
23,"maats,zero_shot,single_agent"
24,"single_agent,zero_shot,maats"
25,"maats,single_agent,zero_shot"
26,"maats,single_agent,zero_shot"
27,"zero_shot,maats,single_agent"
28,"maats,single_agent,zero_shot"
29,"maats,zero_shot,single_agent"
30,"single_agent,maats,zero_shot"
31,"zero_shot,maats,single_agent"
32,"single_agent,maats,zero_shot"
33,"single_agent,zero_shot,maats"
34,"zero_shot,single_agent,maats"
35,"maats,single_agent,zero_shot"
36,"maats,single_agent,zero_shot"
37,"maats,single_agent,zero_shot"
38,"zero_shot,single_agent,maats"
39,"zero_shot,maats,single_agent"
40,"zero_shot,single_agent,maats"
41,"single_agent,maats,zero_shot"
42,"zero_shot,single_agent,maats"
43,"maats,zero_shot,single_agent"
44,"zero_shot,single_agent,maats"
45,"maats,zero_shot,single_agent"
46,"single_agent,maats,zero_shot"
47,"maats,zero_shot,single_agent"
48,"maats,single_agent,zero_shot"
49,"single_agent,zero_shot,maats"
50,"zero_shot,single_agent,maats"
51,"maats,single_agent,zero_shot"
52,"maats,single_agent,zero_shot"
53,"maats,single_agent,zero_shot"
54,"maats,zero_shot,single_agent"
55,"maats,zero_shot,single_agent"
56,"single_agent,zero_shot,maats"
57,"maats,zero_shot,single_agent"
58,"single_agent,zero_shot,maats"
59,"maats,zero_shot,single_agent"
60,"maats,single_agent,zero_shot"
61,"maats,zero_shot,single_agent"
62,"maats,single_agent,zero_shot"
63,"single_agent,maats,zero_shot"
64,"zero_shot,maats,single_agent"
65,"maats,zero_shot,single_agent"
66,"zero_shot,single_agent,maats"
67,"zero_shot,single_agent,maats"
68,"zero_shot,maats,single_agent"
69,"zero_shot,maats,single_agent"
70,"maats,zero_shot,single_agent"
71,"single_agent,maats,zero_shot"
72,"single_agent,maats,zero_shot"
73,"single_agent,zero_shot,maats"
74,"zero_shot,single_agent,maats"
75,"zero_shot,maats,single_agent"
76,"zero_shot,single_agent,maats"
77,"zero_shot,single_agent,maats"
78,"single_agent,maats,zero_shot"
79,"zero_shot,maats,single_agent"
80,"maats,zero_shot,single_agent"
81,"maats,zero_shot,single_agent"
82,"zero_shot,single_agent,maats"
83,"maats,zero_shot,single_agent"
84,"maats,single_agent,zero_shot"
85,"maats,zero_shot,single_agent"
86,"single_agent,zero_shot,maats"
87,"zero_shot,maats,single_agent"
88,"maats,single_agent,zero_shot"
89,"maats,single_agent,zero_shot"
90,"single_agent,zero_shot,maats"
91,"maats,single_agent,zero_shot"
92,"zero_shot,maats,single_agent"
93,"zero_shot,single_agent,maats"
94,"zero_shot,single_agent,maats"
