index,ranking
0,"maats,single_agent,zero_shot"
1,"single_agent,zero_shot,maats"
2,"zero_shot,maats,single_agent"
3,"single_agent,zero_shot,maats"
4,"zero_shot,maats,single_agent"
5,"maats,single_agent,zero_shot"
6,"zero_shot,maats,single_agent"
7,"maats,zero_shot,single_agent"
8,"maats,single_agent,zero_shot"
9,"zero_shot,maats,single_agent"
10,"maats,single_agent,zero_shot"
11,"single_agent,zero_shot,maats"
12,"zero_shot,maats,single_agent"
13,"zero_shot,maats,single_agent"
14,"single_agent,maats,zero_shot"
15,"single_agent,zero_shot,maats"
16,"zero_shot,maats,single_agent"
17,"single_agent,maats,zero_shot"
18,"maats,zero_shot,single_agent"
19,"maats,single_agent,zero_shot"
20,"maats,single_agent,zero_shot"
21,"maats,zero_shot,single_agent"
22,"single_agent,zero_shot,maats"
23,"maats,zero_shot,single_agent"
24,"maats,single_agent,zero_shot"
25,"zero_shot,maats,single_agent"
26,"maats,single_agent,zero_shot"
27,"zero_shot,maats,single_agent"
28,"maats,single_agent,zero_shot"
29,"zero_shot,single_agent,maats"
30,"single_agent,zero_shot,maats"
31,"single_agent,zero_shot,maats"
32,"maats,zero_shot,single_agent"
32,"maats,zero_shot,single_agent"
34,"maats,single_agent,zero_shot"
35,"maats,single_agent,zero_shot"
36,"maats,zero_shot,single_agent"
36,"maats,zero_shot,single_agent"
36,"maats,zero_shot,single_agent"
36,"maats,zero_shot,single_agent"
36,"maats,zero_shot,single_agent"
36,"maats,zero_shot,single_agent"
42,"maats,single_agent,zero_shot"
43,"maats,single_agent,zero_shot"
44,"single_agent,maats,zero_shot"
45,"maats,zero_shot,single_agent"
46,"single_agent,maats,zero_shot"
47,"single_agent,zero_shot,maats"
48,"maats,zero_shot,single_agent"
49,"maats,single_agent,zero_shot"
50,"maats,single_agent,zero_shot"
51,"single_agent,zero_shot,maats"
52,"maats,single_agent,zero_shot"
53,"zero_shot,maats,single_agent"
54,"single_agent,zero_shot,maats"
55,"single_agent,maats,zero_shot"
56,"zero_shot,single_agent,maats"
57,"zero_shot,maats,single_agent"
58,"zero_shot,maats,single_agent"
59,"single_agent,maats,zero_shot"
60,"single_agent,zero_shot,maats"
60,"single_agent,zero_shot,maats"
62,"maats,single_agent,zero_shot"
62,"maats,single_agent,zero_shot"
64,"maats,zero_shot,single_agent"
65,"single_agent,maats,zero_shot"
65,"single_agent,maats,zero_shot"
67,"maats,single_agent,zero_shot"
68,"zero_shot,single_agent,maats"
69,"single_agent,zero_shot,maats"
70,"zero_shot,maats,single_agent"
71,"single_agent,maats,zero_shot"
71,"single_agent,maats,zero_shot"
73,"zero_shot,maats,single_agent"
74,"single_agent,zero_shot,maats"
75,"zero_shot,maats,single_agent"
76,"maats,single_agent,zero_shot"
77,"single_agent,zero_shot,maats"
78,"single_agent,maats,zero_shot"
79,"single_agent,zero_shot,maats"
80,"single_agent,zero_shot,maats"
81,"single_agent,maats,zero_shot"
81,"maats,single_agent,zero_shot"
83,"maats,zero_shot,single_agent"
84,"maats,zero_shot,single_agent"
85,"maats,single_agent,zero_shot"
85,"maats,single_agent,zero_shot"
87,"zero_shot,single_agent,maats"
88,"zero_shot,single_agent,maats"
89,"maats,single_agent,zero_shot"
90,"zero_shot,single_agent,maats"
91,"zero_shot,single_agent,maats"
92,"zero_shot,single_agent,maats"
93,"single_agent,zero_shot,maats"
94,"maats,zero_shot,single_agent"
95,"maats,single_agent,zero_shot"
96,"single_agent,zero_shot,maats"
97,"zero_shot,single_agent,maats"
98,"zero_shot,maats,single_agent"
99,"single_agent,zero_shot,maats"
100,"single_agent,zero_shot,maats"
101,"single_agent,zero_shot,maats"
102,"single_agent,zero_shot,maats"
103,"single_agent,zero_shot,maats"
104,"zero_shot,single_agent,maats"
105,"single_agent,zero_shot,maats"
106,"single_agent,zero_shot,maats"
107,"single_agent,zero_shot,maats"
108,"zero_shot,maats,single_agent"
109,"single_agent,zero_shot,maats"
110,"single_agent,zero_shot,maats"
111,"zero_shot,single_agent,maats"
112,"single_agent,zero_shot,maats"
113,"zero_shot,maats,single_agent"
114,"single_agent,zero_shot,maats"
115,"single_agent,zero_shot,maats"
116,"maats,single_agent,zero_shot"
117,"maats,single_agent,zero_shot"
