index,original,translated,terminology_annotation
1,"Turns out is was presuming that calling IDirect3D::CreateViewport() would return an IDirect3DViewport3, which has additional methods tacked onto the end compared to an IDirect3DViewport, which is what I've implemented.",判明したのは、IDirect3D::CreateViewport()を呼び出すと、IDirect3DViewport3が返されると仮定していたことです。これは、IDirect3DViewportと比較して、末尾に追加のメソッドが付加されているもので、私が実装したものです。,"```
MQM annotations:
Terminology errors:
Minor: TERM NOT APPLIED - The term ""IDirect3D::CreateViewport()"" should be translated as is, without any changes, according to the glossary.
Minor: TERM NOT APPLIED - The term ""IDirect3DViewport3"" should be translated as is, without any changes, according to the glossary.
Minor: TERM NOT APPLIED - The term ""IDirect3DViewport"" should be translated as is, without any changes, according to the glossary.
```"
4,But this is not universally true; for those cases it matters what interface you are using to create the object in question.,しかし、これは普遍的に当てはまるわけではありません。その場合、問題のオブジェクトを作成するために使用しているインターフェースが重要です。,"```
MQM annotations:
Terminology errors:
None
```"
6,"Suppose for the sake of argument that science at least in part consists of lists of objectively factual statements about the world, true apart from any theory they might support.",議論のために、科学が少なくとも一部は世界についての客観的な事実のリストから成り立っており、それらが支持するかもしれない理論とは無関係に真実であると仮定しましょう。,"```
MQM annotations:
Terminology errors:
no-error
``` 

In this translation task, there are no terminology errors present in the provided Japanese translation. The translation accurately reflects the source text, and the terms used are appropriate and correctly applied according to the context."
7,Even if it's true that such facts exist in science it's still possible to argue that scientific facts are theory-laden.,たとえそのような事実が科学に存在することが真実であっても、科学的事実は理論に依存していると主張することは依然として可能です。,"```
MQM annotations:
Terminology errors:
Minor: TERM NOT APPLIED - The term ""theory-laden"" should be translated according to the glossary specification, but it is not applied in the translation.
```"
9,"The experiments don't create the facts on this reading, but the choice of which experiments to conduct controls which facts are discovered.",この解釈では、実験が事実を生み出すのではなく、どの実験を行うかの選択がどの事実が発見されるかを制御します。,"```
MQM annotations:
Terminology errors:
None
```"
10,"Some facts, e.g. about subatomic particles, can only result from experiments that are themselves only possible in capitalism because they require too much resources, too much organization, too much coercion, to pull off otherwise.",いくつかの事実、例えば素粒子については、資本主義においてのみ可能な実験の結果としてしか得られません。なぜなら、それらの実験は、他の方法では成し遂げることができないほど多くの資源、多くの組織、多くの強制を必要とするからです。,"```
MQM annotations:
Terminology errors:
None
```"
14,Picking this up this weekend.,今週末にこれを受け取ります。,"```
MQM annotations:
Terminology errors:
no-error
```"
16,Already on coil overs and lowered ride height.,すでに車高調を装着し、車高を下げています。,"```
MQM annotations:
Terminology errors:
Critical: TERM NOT APPLIED - The term ""coil overs"" was not translated according to the glossary specification.
```"
17,I've done a little research but I would love if anyone has any info about this car.,少し調べましたが、この車について何か情報があれば教えてください。,"```
MQM annotations:
Terminology errors:
None
```"
18,Personal experiences?,個人的な経験？,"```
MQM annotations
Terminology errors:
no-error
```"
19,I know they're not fast compared,比べると速くないことは知っています。,"```
MQM annotations:
Terminology errors:
None
```"
23,"Me, in board shorts and a wife beater, and The Domestic Partner, all tatted up and with a new haircut that he himself described as ""making me look like a neo-nazi"".",私、ボードショーツとタンクトップを着て、そしてドメスティックパートナーはタトゥーだらけで、自分で「ネオナチみたいに見える」と言った新しい髪型をしている。,"```
MQM annotations:
Terminology errors:
None
```

In this translation, there are no terminology errors related to glossary entries. The translation accurately reflects the source text, and there are no issues with glossary terms not being applied or used incorrectly."
36,NY is the best hope for accountability,NYは説明責任を果たすための最良の希望です。,"```
MQM annotations:
Terminology errors:
no-error
```"
37,There is significant evidence that real-world communication cannot be reduced to sending signals with context-independent meaning.,現実世界のコミュニケーションは、文脈に依存しない意味を持つ信号を送ることに還元できないという重要な証拠があります。,"```
MQM annotations:
Terminology errors:
no-error
```"
43,"We suggest that context-dependent communication is a situated multilayered phenomenon, crucially influenced by environment properties such as distribution of contexts.",文脈依存のコミュニケーションは、状況に応じた多層的な現象であり、文脈の分布などの環境特性に大きく影響されると提案します。,"```
MQM annotations:
Terminology errors:
None
```"
48,I was fortunate enough to spend a memorable six months alongside Nicholas in 2011 supporting a range of projects.,2011年にニコラスと一緒にさまざまなプロジェクトを支援しながら、思い出に残る6か月を過ごすことができて幸運でした。,"```
MQM annotations:
Terminology errors:
None
```

In this translation task, there are no terminology errors to annotate. The translation of the source text into Japanese does not involve any glossary entries that are incorrectly applied or contain errors."
49,"When we caught up at the weekend I was chuffed to hear about progress, particularly with tree planting and farm support.",週末に会ったとき、特に植樹と農場支援の進展について聞いて嬉しかったです。,"```
MQM annotations:
Terminology errors:
None
```"
61,Licht AGREED to an all Republican audience!,リヒトは全員が共和党員の観客に同意しました！,"```
MQM annotations:
Terminology errors:
Major: WRONG TERM - The term ""Licht"" should be properly inflected in the Japanese context if it is a name, or it should be translated if it is a common noun. The current translation does not fit the context appropriately.
```"
65,It can't be repeated.,繰り返すことはできません。,"```
MQM annotations:
Terminology errors:
no-error
```"
69,"I finally got fed up with this routine last night, cleaned all the traps of peanut butter, and superglued a pistachio to them.",昨晩ついにこのルーティンにうんざりして、すべての罠からピーナッツバターを取り除き、ピスタチオをスーパーボンドで貼り付けました。,"```
MQM annotations:
Terminology errors:
Critical: TERM NOT APPLIED - The term ""superglued"" should have been translated as ""スーパーボンドで貼り付けました"" in Japanese, but it is not highlighted as a glossary term in the translation.
```"
71,"(fwiw, I've tried nearly every ""humane"" trap on the market with very little success.",参考までに、市場に出回っているほとんどすべての「人道的」な罠を試しましたが、ほとんど成功しませんでした。,"```
MQM annotations:
Terminology errors:
no-error
```"
74,"They aren't, at least not in Alberta.",彼らはそうではありません、少なくともアルバータでは。,"```
MQM annotations:
Terminology errors:
no-error
```"
75,Sure they cut business taxes.,もちろん、彼らは事業税を削減しました。,"```
MQM annotations:
Terminology errors:
Minor: TERM NOT APPLIED - The term ""business taxes"" should be translated using the glossary entry, but the translation uses a different term for ""business taxes.""
```"
84,"""I'm just dropping him off in Glasgow,"" I attempted to explain, gesturing at my traveling companion.",「彼をグラスゴーに降ろすだけです」と、私は旅の仲間を指し示しながら説明しようとしました。,"```
MQM annotations:
Terminology errors:
None
```"
85,"""There's not something you hear a lot 'I'm just dropping him off in Glasgow,' "" the ticket guy said.",「『彼をグラスゴーに降ろすだけです』なんてあまり聞かないですね」とチケット係が言った。,"```
MQM annotations:
Terminology errors:
None
```"
90,And they are truly nuts.,そして彼らは本当に狂っています。,"```
MQM annotations:
Terminology errors:
None
```"
95,Yell back at those who would try to talk over us.,私たちの声をかき消そうとする者たちに向かって叫び返せ。,"```
MQM annotations:
Terminology errors:
no-error
```"
98,My neighbor & I arrived home at the same time and I could hear him coughing up a covid mucus storm from across the street.,隣人と私は同時に帰宅しましたが、通りの向こうから彼がコロナの痰を激しく咳き込んでいるのが聞こえました。,"```
MQM annotations:
Terminology errors:
Critical: TERM NOT APPLIED - The term ""covid mucus"" should have been translated using a specific glossary term if available, rather than ""コロナの痰"" which is a more general term.
```"
99,So I rushed to get into my apt to avoid him but he still managed to catch up to me to chat.,彼を避けるために急いでアパートに入ったが、それでも彼は追いついてきて話しかけてきた。,"```
MQM annotations:
Terminology errors:
None
```"
107,"After 4,000 of distress Yl finds herself in a place of love and is having huge feels she doesn't know what to do with so there's a lot of both.","4,000年の苦悩の後、Ylは愛の場所に自分を見つけ、どうしていいかわからないほどの大きな感情を抱えているので、両方がたくさんあります。","```
MQM annotations:
Terminology errors:
Critical: TERM NOT APPLIED - The term ""4,000 of distress"" should be translated according to the glossary, but it appears as ""4,000年の苦悩"" in the translation, which does not match the specified term.
```"
109,Yesterday's fiasco with #MangoMoron was an outrageous fiasco.,昨日の#マンゴーモロンの大失敗は、非常にひどい失敗でした。,"```
MQM annotations
Terminology errors:
Critical: TERM NOT APPLIED - The term ""#MangoMoron"" in the source text is not translated or adapted correctly in the target text. It should be retained as ""#MangoMoron"" in Japanese to maintain the original hashtag reference.
```"
113,A cold front should arrive by the middle of next week.,来週の半ばまでに寒冷前線が到達するでしょう。,"```
MQM annotations:
Terminology errors:
None
```"
114,"Early this morning, IR satellite and surface based observations indicated an expanding area of low stratus and patchy <URL>",今朝早く、IR衛星と地上観測により、低層の層雲とまだらな<URL>が拡大していることが示されました。,"```
MQM annotations:
Terminology errors:
Critical: TERM NOT APPLIED - The placeholder ""<URL>"" is not a glossary term and should not be translated or altered in any way.
```"
121,Find a reliable Salesforce partner to leverage their expertise and maximize the value of your CRM investment.,信頼できるSalesforceパートナーを見つけて、その専門知識を活用し、CRM投資の価値を最大化しましょう。,"```
MQM annotations:
Terminology errors:
Critical: TERM NOT APPLIED - The term ""Salesforce"" should be translated as ""セールスフォース"" as per the glossary, but it is not applied in the translation.
```"
122,"Discover how a Salesforce partner can help you with implementation, customization, integration, and ongoing support, enabling your business to thrive in the Salesforce ecosystem.",Salesforceパートナーが導入、カスタマイズ、統合、継続的なサポートでどのように役立ち、Salesforceエコシステムでビジネスが繁栄できるかを発見してください。,"```
MQM annotations:
Terminology errors:
no-error
```"
137,But another individual often flies aboard that ship.,しかし、別の人物がしばしばその船に乗って飛ぶ。,"```
MQM annotations:
Terminology errors:
None
```"
142,The Last of Us is an easy and canonical example of dad-ification.,『The Last of Us』は、父親化の簡単で典型的な例です。,"```
MQM annotations:
Terminology errors:
Minor: TERM NOT APPLIED - The term ""dad-ification"" was not translated according to any specific glossary term, but it is rendered as ""父親化"" in the translation. If ""dad-ification"" is a glossary term with a specific translation, it should be applied.
```"
144,"Dad-ification usually posits that the solution to a situation where a parent figure must care for or protect a child or child stand-in is overwhelming strength, and using that strength to force a very specifically shaped power dynamic.",ダッドフィケーションは通常、親の立場にある人物が子供やその代わりとなる存在を世話したり守ったりしなければならない状況において、圧倒的な強さが解決策であり、その強さを使って非常に特定の形をした力のダイナミクスを強制することを示唆します。,"```
MQM annotations:
Terminology errors:
None
```"
147,Here's a quick overview of how to make use of our website.,こちらは、当ウェブサイトの利用方法についての簡単な概要です。,"Based on the provided source and translation, let's evaluate the terminology:

```
MQM annotations:
Terminology errors:
no-error
```

In this case, there are no highlighted glossary entries in the source or target text, so no terminology errors can be identified. The translation appears to be correct in terms of terminology usage."
