index,original,translated,audience_appropriateness_annotation
1,"Turns out is was presuming that calling IDirect3D::CreateViewport() would return an IDirect3DViewport3, which has additional methods tacked onto the end compared to an IDirect3DViewport, which is what I've implemented.",実は、IDirect3D::CreateViewport() を呼び出すと IDirect3DViewport ではなく、IDirect3DViewport にメソッドを追加した IDirect3DViewport3 が返ってくると思い込んでいた。私が実装したのは IDirect3DViewport だった。,"MQM annotations:
audience appropriateness error: None"
4,But this is not universally true; for those cases it matters what interface you are using to create the object in question.,しかし、これは普遍的に正しいわけではなく、該当のオブジェクトを生成する際に使用しているインターフェースによって事情が変わる場合がある。,"MQM annotations:
audience appropriateness error: None"
6,"Suppose for the sake of argument that science at least in part consists of lists of objectively factual statements about the world, true apart from any theory they might support.",議論のために仮に、科学が少なくとも部分的には、世界に関する客観的に事実な記述のリストで構成され、それらが支持するかもしれないいかなる理論とも無関係に真であると仮定しよう。,"MQM annotations:
critical: no-error
major: no-error
minor: no-error"
7,Even if it's true that such facts exist in science it's still possible to argue that scientific facts are theory-laden.,科学にそのような事実が存在するというのが真実だとしても、科学的事実が理論負荷的であると主張することは依然として可能だ。,"MQM annotations:
no-error"
9,"The experiments don't create the facts on this reading, but the choice of which experiments to conduct controls which facts are discovered.",この解釈では、実験が事実を作り出すのではなく、どの実験を行うかの選択が、どの事実が発見されるかを左右する。,"MQM annotations:
audience appropriateness error: None"
10,"Some facts, e.g. about subatomic particles, can only result from experiments that are themselves only possible in capitalism because they require too much resources, too much organization, too much coercion, to pull off otherwise.",亜原子粒子に関する事実など、資本主義においてのみ可能な実験からしか得られない事実がある。なぜなら、そのような実験はあまりに多くの資源、組織、そして強制力を必要とし、資本主義以外では実現不可能だからだ。,"MQM annotations:
major: audience_appropriateness/culture-specific reference - The statement implies a specific political/economic viewpoint (criticism of capitalism) that may not be universally accepted or understood in Japan without further context. While Japanese readers may be familiar with capitalism and its criticisms, the direct link between specific scientific experiments and capitalism's necessity could be seen as a political statement that requires careful consideration of the audience's background and potential biases."
14,Picking this up this weekend.,週末に引き取ります。,"MQM annotations:
minor: style/awkward - The translation is grammatically correct and conveys the general meaning, but it lacks context regarding what exactly is being ""picked up."" This could be confusing for the reader. While not strictly an audience appropriateness issue, a more natural translation would be beneficial."
16,Already on coil overs and lowered ride height.,車高調済み、ローダウン済み。,"MQM annotations:
minor: no-error
major: no-error
critical: no-error"
17,I've done a little research but I would love if anyone has any info about this car.,少し調べてみたのですが、もしこの車について何か情報をお持ちの方がいらっしゃいましたら教えていただけると嬉しいです。,"MQM annotations:
audience appropriateness error:
None"
18,Personal experiences?,個人的な経験？,"MQM annotations:
audience appropriateness error: no-error"
19,I know they're not fast compared,それに比べて速くないのは分かっています。,"MQM annotations:
audience appropriateness error: None"
23,"Me, in board shorts and a wife beater, and The Domestic Partner, all tatted up and with a new haircut that he himself described as ""making me look like a neo-nazi"".",俺はボードショーツにランニングシャツ姿、そして連れ合いは全身タトゥーで、自分で「ネオナチみたい」って言ってた新しい髪型。,"MQM annotations:
minor: audience_appropriateness/culture-specific reference - While ""neo-nazi"" is a globally understood term, its impact and connotations can vary significantly across cultures. In Japan, the association might be less direct and immediate compared to Western contexts, potentially lessening the intended impact or shock value. However, given the limited context and the speaker explicitly using the term, it's not a critical error."
36,NY is the best hope for accountability,ニューヨークこそが説明責任を果たすための最良の希望だ。,"MQM annotations:
no-error"
